Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby679a_3_1_ax.img	Telencephalon_L	482556	0.0000e+00	507.0000	165.7006	61.6870	
kirby679a_3_1_ax.img	Telencephalon_R	490654	2.0000	671.0000	173.8812	63.7410	
kirby679a_3_1_ax.img	Diencephalon_L	8996	56.0000	428.0000	237.3187	34.8578	
kirby679a_3_1_ax.img	Diencephalon_R	8990	35.0000	408.0000	241.7964	34.4612	
kirby679a_3_1_ax.img	Mesencephalon	10979	56.0000	598.0000	278.7425	31.9179	
kirby679a_3_1_ax.img	Metencephalon	144972	1.0000	488.0000	162.6481	61.5483	
kirby679a_3_1_ax.img	Myelencephalon	4359	34.0000	522.0000	226.7811	39.6404	
kirby679a_3_1_ax.img	CSF	56925	0.0000e+00	322.0000	50.9519	40.0032	



Type1-L2 Statistics

kirby679a_3_1_ax.img	CerebralCortex_L	251814	0.0000e+00	507.0000	117.4836	33.5996	
kirby679a_3_1_ax.img	CerebralCortex_R	254652	2.0000	492.0000	123.6131	34.2869	
kirby679a_3_1_ax.img	CerebralNucli_L	13534	76.0000	308.0000	203.6903	32.3602	
kirby679a_3_1_ax.img	CerebralNucli_R	13812	47.0000	329.0000	210.0867	33.4232	
kirby679a_3_1_ax.img	Thalamus_L	6026	56.0000	418.0000	238.7732	27.3324	
kirby679a_3_1_ax.img	Thalamus_R	6130	63.0000	330.0000	243.8600	28.6264	
kirby679a_3_1_ax.img	BasalForebrain_L	2970	70.0000	428.0000	234.3681	46.3843	
kirby679a_3_1_ax.img	BasalForebrain_R	2860	35.0000	408.0000	237.3731	44.1351	
kirby679a_3_1_ax.img	Mesencephalon_L	5433	56.0000	598.0000	276.6245	31.2763	
kirby679a_3_1_ax.img	Mesencephalon_R	5547	80.0000	376.0000	280.8170	32.4001	
kirby679a_3_1_ax.img	Metencephalon_R	73355	1.0000	386.0000	168.5541	62.4626	
kirby679a_3_1_ax.img	Metencephalon_L	71618	6.0000	488.0000	156.5989	59.9978	
kirby679a_3_1_ax.img	Myelencephalon_L	2127	39.0000	440.0000	220.2297	38.0973	
kirby679a_3_1_ax.img	Myelencephalon_R	2232	34.0000	522.0000	233.0226	40.0724	
kirby679a_3_1_ax.img	WhiteMatter_L	217209	14.0000	469.0000	219.2326	37.8024	
kirby679a_3_1_ax.img	WhiteMatter_R	222190	7.0000	671.0000	229.2429	38.8938	
kirby679a_3_1_ax.img	Ventricle	18731	0.0000e+00	322.0000	73.2310	54.2523	
kirby679a_3_1_ax.img	Sulcus_L	21054	0.0000e+00	167.0000	38.3720	23.3186	
kirby679a_3_1_ax.img	Sulcus_R	17140	0.0000e+00	133.0000	42.0575	24.7864	



Type1-L3 Statistics

kirby679a_3_1_ax.img	Frontal_L	85895	2.0000	398.0000	113.2671	31.7775	
kirby679a_3_1_ax.img	Frontal_R	85770	4.0000	266.0000	113.1427	30.0769	
kirby679a_3_1_ax.img	Parietal_L	40637	0.0000e+00	281.0000	108.0667	28.9357	
kirby679a_3_1_ax.img	Parietal_R	43192	2.0000	239.0000	115.1732	30.1953	
kirby679a_3_1_ax.img	Temporal_L	56315	4.0000	293.0000	115.8941	28.4538	
kirby679a_3_1_ax.img	Temporal_R	57940	5.0000	352.0000	128.5752	29.8833	
kirby679a_3_1_ax.img	Limbic_L	31990	12.0000	418.0000	147.5420	37.2131	
kirby679a_3_1_ax.img	Limbic_R	34068	9.0000	492.0000	150.2597	38.5445	
kirby679a_3_1_ax.img	Occipital_L	31611	3.0000	253.0000	111.6841	32.8801	
kirby679a_3_1_ax.img	Occipital_R	28912	3.0000	282.0000	124.2399	35.8813	
kirby679a_3_1_ax.img	Insula_L	7281	9.0000	507.0000	139.6666	31.4932	
kirby679a_3_1_ax.img	Insula_R	6806	4.0000	476.0000	148.0839	35.0014	
kirby679a_3_1_ax.img	BasalGang_L	11621	76.0000	308.0000	208.8122	31.0873	
kirby679a_3_1_ax.img	BasalGang_R	11778	47.0000	329.0000	215.0544	32.6176	
kirby679a_3_1_ax.img	Thalamus_L	6026	56.0000	418.0000	238.7732	27.3324	
kirby679a_3_1_ax.img	Thalamus_R	6130	63.0000	330.0000	243.8600	28.6264	
kirby679a_3_1_ax.img	BasalForebrain_L	2970	70.0000	428.0000	234.3681	46.3843	
kirby679a_3_1_ax.img	BasalForebrain_R	2860	35.0000	408.0000	237.3731	44.1351	
