Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby239a_3_1_ax.img	Telencephalon_L	483107	0.0000e+00	507.0000	145.7248	57.8707	
kirby239a_3_1_ax.img	Telencephalon_R	490805	0.0000e+00	371.0000	153.9713	59.8162	
kirby239a_3_1_ax.img	Diencephalon_L	8937	47.0000	425.0000	220.2363	32.7255	
kirby239a_3_1_ax.img	Diencephalon_R	9004	33.0000	333.0000	224.5235	32.2017	
kirby239a_3_1_ax.img	Mesencephalon	9070	55.0000	352.0000	261.4794	30.5005	
kirby239a_3_1_ax.img	Metencephalon	124504	0.0000e+00	315.0000	155.1426	54.4325	
kirby239a_3_1_ax.img	Myelencephalon	4023	15.0000	306.0000	212.6417	39.5563	
kirby239a_3_1_ax.img	CSF	94254	0.0000e+00	259.0000	35.9769	30.1688	



Type1-L2 Statistics

kirby239a_3_1_ax.img	CerebralCortex_L	259126	0.0000e+00	357.0000	102.4912	31.3842	
kirby239a_3_1_ax.img	CerebralCortex_R	260324	0.0000e+00	321.0000	108.1538	31.8392	
kirby239a_3_1_ax.img	CerebralNucli_L	11828	66.0000	302.0000	192.6619	29.5501	
kirby239a_3_1_ax.img	CerebralNucli_R	12498	49.0000	301.0000	201.3281	30.3251	
kirby239a_3_1_ax.img	Thalamus_L	6256	47.0000	307.0000	219.1038	26.7791	
kirby239a_3_1_ax.img	Thalamus_R	6413	33.0000	306.0000	225.8840	26.9113	
kirby239a_3_1_ax.img	BasalForebrain_L	2681	85.0000	425.0000	222.8791	43.4356	
kirby239a_3_1_ax.img	BasalForebrain_R	2591	65.0000	333.0000	221.1561	42.3685	
kirby239a_3_1_ax.img	Mesencephalon_L	4534	55.0000	343.0000	259.6842	28.1782	
kirby239a_3_1_ax.img	Mesencephalon_R	4536	55.0000	352.0000	263.2735	32.5582	
kirby239a_3_1_ax.img	Metencephalon_R	63590	3.0000	315.0000	160.3537	54.8499	
kirby239a_3_1_ax.img	Metencephalon_L	60915	0.0000e+00	312.0000	149.7026	53.4541	
kirby239a_3_1_ax.img	Myelencephalon_L	1884	15.0000	306.0000	207.7325	42.5413	
kirby239a_3_1_ax.img	Myelencephalon_R	2139	43.0000	290.0000	216.9669	36.1781	
kirby239a_3_1_ax.img	WhiteMatter_L	212154	8.0000	507.0000	195.9139	38.0757	
kirby239a_3_1_ax.img	WhiteMatter_R	217984	13.0000	371.0000	205.9728	38.1178	
kirby239a_3_1_ax.img	Ventricle	24508	0.0000e+00	259.0000	54.4063	44.9158	
kirby239a_3_1_ax.img	Sulcus_L	37774	0.0000e+00	156.0000	29.2756	18.5425	
kirby239a_3_1_ax.img	Sulcus_R	31973	0.0000e+00	178.0000	29.7676	19.4565	



Type1-L3 Statistics

kirby239a_3_1_ax.img	Frontal_L	86796	1.0000	264.0000	100.9051	30.2792	
kirby239a_3_1_ax.img	Frontal_R	85226	0.0000e+00	266.0000	99.6750	28.5276	
kirby239a_3_1_ax.img	Parietal_L	43402	3.0000	192.0000	85.9010	24.7514	
kirby239a_3_1_ax.img	Parietal_R	45056	0.0000e+00	200.0000	93.9928	26.6287	
kirby239a_3_1_ax.img	Temporal_L	62217	0.0000e+00	244.0000	105.3276	26.5585	
kirby239a_3_1_ax.img	Temporal_R	59982	3.0000	238.0000	116.5172	27.2583	
kirby239a_3_1_ax.img	Limbic_L	27926	5.0000	357.0000	132.7706	34.6029	
kirby239a_3_1_ax.img	Limbic_R	31593	2.0000	321.0000	135.3074	36.7331	
kirby239a_3_1_ax.img	Occipital_L	33656	1.0000	226.0000	95.6535	29.7281	
kirby239a_3_1_ax.img	Occipital_R	33254	0.0000e+00	218.0000	106.1856	30.2430	
kirby239a_3_1_ax.img	Insula_L	6633	10.0000	303.0000	126.2358	25.7771	
kirby239a_3_1_ax.img	Insula_R	6936	11.0000	320.0000	133.7808	27.7651	
kirby239a_3_1_ax.img	BasalGang_L	10326	66.0000	302.0000	196.8923	28.6630	
kirby239a_3_1_ax.img	BasalGang_R	10778	49.0000	301.0000	205.8909	29.4460	
kirby239a_3_1_ax.img	Thalamus_L	6256	47.0000	307.0000	219.1038	26.7791	
kirby239a_3_1_ax.img	Thalamus_R	6413	33.0000	306.0000	225.8840	26.9113	
kirby239a_3_1_ax.img	BasalForebrain_L	2681	85.0000	425.0000	222.8791	43.4356	
kirby239a_3_1_ax.img	BasalForebrain_R	2591	65.0000	333.0000	221.1561	42.3685	
