Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby505b_3_1_ax.img	Telencephalon_L	455988	0.0000e+00	383.0000	163.0893	61.6568	
kirby505b_3_1_ax.img	Telencephalon_R	463816	0.0000e+00	348.0000	168.6025	62.1914	
kirby505b_3_1_ax.img	Diencephalon_L	8103	82.0000	371.0000	233.6993	35.1288	
kirby505b_3_1_ax.img	Diencephalon_R	8159	42.0000	448.0000	231.1243	35.9018	
kirby505b_3_1_ax.img	Mesencephalon	9220	18.0000	355.0000	270.4066	32.1234	
kirby505b_3_1_ax.img	Metencephalon	133007	2.0000	357.0000	164.4309	60.0033	
kirby505b_3_1_ax.img	Myelencephalon	4160	39.0000	352.0000	225.2250	38.6422	
kirby505b_3_1_ax.img	CSF	80310	0.0000e+00	284.0000	41.0459	33.8249	



Type1-L2 Statistics

kirby505b_3_1_ax.img	CerebralCortex_L	232708	0.0000e+00	380.0000	113.7664	34.8479	
kirby505b_3_1_ax.img	CerebralCortex_R	236469	0.0000e+00	326.0000	118.5212	34.4448	
kirby505b_3_1_ax.img	CerebralNucli_L	11181	24.0000	365.0000	203.7692	35.9120	
kirby505b_3_1_ax.img	CerebralNucli_R	11734	25.0000	329.0000	200.5343	35.4544	
kirby505b_3_1_ax.img	Thalamus_L	5188	88.0000	357.0000	230.9394	24.4909	
kirby505b_3_1_ax.img	Thalamus_R	5338	59.0000	318.0000	230.3514	26.7602	
kirby505b_3_1_ax.img	BasalForebrain_L	2915	82.0000	371.0000	238.6114	48.2195	
kirby505b_3_1_ax.img	BasalForebrain_R	2822	42.0000	448.0000	232.5866	48.6770	
kirby505b_3_1_ax.img	Mesencephalon_L	4593	18.0000	350.0000	270.7110	30.9318	
kirby505b_3_1_ax.img	Mesencephalon_R	4628	59.0000	355.0000	270.1045	33.2610	
kirby505b_3_1_ax.img	Metencephalon_R	66550	6.0000	342.0000	169.2276	60.0195	
kirby505b_3_1_ax.img	Metencephalon_L	66458	2.0000	357.0000	159.6277	59.6014	
kirby505b_3_1_ax.img	Myelencephalon_L	1977	39.0000	300.0000	219.5768	39.4942	
kirby505b_3_1_ax.img	Myelencephalon_R	2183	45.0000	352.0000	230.3392	37.1200	
kirby505b_3_1_ax.img	WhiteMatter_L	212100	13.0000	383.0000	215.0602	36.2659	
kirby505b_3_1_ax.img	WhiteMatter_R	215614	5.0000	348.0000	221.7902	36.2680	
kirby505b_3_1_ax.img	Ventricle	31605	0.0000e+00	284.0000	54.0246	43.5101	
kirby505b_3_1_ax.img	Sulcus_L	27726	0.0000e+00	136.0000	32.1555	21.6582	
kirby505b_3_1_ax.img	Sulcus_R	20980	0.0000e+00	145.0000	33.2436	22.1098	



Type1-L3 Statistics

kirby505b_3_1_ax.img	Frontal_L	75909	0.0000e+00	305.0000	108.1469	33.3850	
kirby505b_3_1_ax.img	Frontal_R	76056	0.0000e+00	264.0000	107.7318	30.8612	
kirby505b_3_1_ax.img	Parietal_L	37352	1.0000	213.0000	103.6035	29.9361	
kirby505b_3_1_ax.img	Parietal_R	39080	3.0000	249.0000	111.4904	30.5769	
kirby505b_3_1_ax.img	Temporal_L	52235	0.0000e+00	264.0000	116.4503	31.3578	
kirby505b_3_1_ax.img	Temporal_R	54642	2.0000	258.0000	125.5382	30.8562	
kirby505b_3_1_ax.img	Limbic_L	26769	11.0000	380.0000	145.5323	37.8806	
kirby505b_3_1_ax.img	Limbic_R	29469	1.0000	326.0000	142.8182	39.8355	
kirby505b_3_1_ax.img	Occipital_L	35308	1.0000	240.0000	108.8790	32.7039	
kirby505b_3_1_ax.img	Occipital_R	32552	1.0000	237.0000	118.5287	34.7064	
kirby505b_3_1_ax.img	Insula_L	6674	4.0000	259.0000	125.0354	33.4734	
kirby505b_3_1_ax.img	Insula_R	6474	5.0000	236.0000	132.1880	33.7515	
kirby505b_3_1_ax.img	BasalGang_L	9645	50.0000	365.0000	209.0820	34.5852	
kirby505b_3_1_ax.img	BasalGang_R	9932	38.0000	329.0000	206.0772	34.2761	
kirby505b_3_1_ax.img	Thalamus_L	5188	88.0000	357.0000	230.9394	24.4909	
kirby505b_3_1_ax.img	Thalamus_R	5338	59.0000	318.0000	230.3514	26.7602	
kirby505b_3_1_ax.img	BasalForebrain_L	2915	82.0000	371.0000	238.6114	48.2195	
kirby505b_3_1_ax.img	BasalForebrain_R	2822	42.0000	448.0000	232.5866	48.6770	
