Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby502b_3_1_ax.img	Telencephalon_L	506582	1.0000	386.0000	156.7660	60.7044	
kirby502b_3_1_ax.img	Telencephalon_R	515032	0.0000e+00	402.0000	163.4208	63.5730	
kirby502b_3_1_ax.img	Diencephalon_L	9245	30.0000	331.0000	229.6149	34.2978	
kirby502b_3_1_ax.img	Diencephalon_R	9282	33.0000	462.0000	231.5138	34.6226	
kirby502b_3_1_ax.img	Mesencephalon	9953	78.0000	361.0000	274.0932	30.3383	
kirby502b_3_1_ax.img	Metencephalon	137956	1.0000	320.0000	166.1801	56.3752	
kirby502b_3_1_ax.img	Myelencephalon	5037	24.0000	317.0000	228.9683	38.5920	
kirby502b_3_1_ax.img	CSF	97954	0.0000e+00	300.0000	39.0793	33.9642	



Type1-L2 Statistics

kirby502b_3_1_ax.img	CerebralCortex_L	267198	1.0000	370.0000	110.3367	35.7380	
kirby502b_3_1_ax.img	CerebralCortex_R	269559	0.0000e+00	389.0000	114.2718	37.0301	
kirby502b_3_1_ax.img	CerebralNucli_L	12214	41.0000	333.0000	205.0553	34.5425	
kirby502b_3_1_ax.img	CerebralNucli_R	13035	35.0000	402.0000	209.3311	35.7455	
kirby502b_3_1_ax.img	Thalamus_L	6333	65.0000	303.0000	228.3256	26.1101	
kirby502b_3_1_ax.img	Thalamus_R	6418	33.0000	314.0000	231.2809	28.5592	
kirby502b_3_1_ax.img	BasalForebrain_L	2913	30.0000	331.0000	232.4182	47.3316	
kirby502b_3_1_ax.img	BasalForebrain_R	2865	78.0000	462.0000	232.0356	45.3503	
kirby502b_3_1_ax.img	Mesencephalon_L	4985	94.0000	346.0000	273.3799	29.0824	
kirby502b_3_1_ax.img	Mesencephalon_R	4968	78.0000	361.0000	274.8089	31.5320	
kirby502b_3_1_ax.img	Metencephalon_R	69144	1.0000	315.0000	171.2090	56.3727	
kirby502b_3_1_ax.img	Metencephalon_L	68812	5.0000	320.0000	161.1270	55.9241	
kirby502b_3_1_ax.img	Myelencephalon_L	2579	24.0000	317.0000	222.1098	43.0650	
kirby502b_3_1_ax.img	Myelencephalon_R	2458	47.0000	316.0000	236.1650	31.7005	
kirby502b_3_1_ax.img	WhiteMatter_L	227170	12.0000	386.0000	208.7802	35.8429	
kirby502b_3_1_ax.img	WhiteMatter_R	232439	21.0000	375.0000	217.8442	37.5734	
kirby502b_3_1_ax.img	Ventricle	27879	0.0000e+00	300.0000	62.1230	47.1021	
kirby502b_3_1_ax.img	Sulcus_L	36509	0.0000e+00	176.0000	29.8977	20.3152	
kirby502b_3_1_ax.img	Sulcus_R	33567	0.0000e+00	165.0000	29.9271	21.4085	



Type1-L3 Statistics

kirby502b_3_1_ax.img	Frontal_L	84837	1.0000	318.0000	103.1210	33.6631	
kirby502b_3_1_ax.img	Frontal_R	84026	0.0000e+00	385.0000	100.9352	32.8686	
kirby502b_3_1_ax.img	Parietal_L	50008	1.0000	205.0000	101.2617	30.0753	
kirby502b_3_1_ax.img	Parietal_R	50136	1.0000	224.0000	107.6999	31.6682	
kirby502b_3_1_ax.img	Temporal_L	61503	1.0000	246.0000	114.6209	31.6938	
kirby502b_3_1_ax.img	Temporal_R	65506	2.0000	264.0000	122.5213	33.6106	
kirby502b_3_1_ax.img	Limbic_L	28622	3.0000	370.0000	142.7642	40.8030	
kirby502b_3_1_ax.img	Limbic_R	30398	3.0000	389.0000	142.4440	42.5821	
kirby502b_3_1_ax.img	Occipital_L	36306	1.0000	233.0000	105.7323	35.7155	
kirby502b_3_1_ax.img	Occipital_R	33707	1.0000	250.0000	114.9571	38.5108	
kirby502b_3_1_ax.img	Insula_L	7500	6.0000	279.0000	129.0430	32.2291	
kirby502b_3_1_ax.img	Insula_R	7738	7.0000	329.0000	134.9673	35.9818	
kirby502b_3_1_ax.img	BasalGang_L	10638	41.0000	333.0000	209.7998	33.7498	
kirby502b_3_1_ax.img	BasalGang_R	11085	35.0000	402.0000	214.3372	35.3717	
kirby502b_3_1_ax.img	Thalamus_L	6333	65.0000	303.0000	228.3256	26.1101	
kirby502b_3_1_ax.img	Thalamus_R	6418	33.0000	314.0000	231.2809	28.5592	
kirby502b_3_1_ax.img	BasalForebrain_L	2913	30.0000	331.0000	232.4182	47.3316	
kirby502b_3_1_ax.img	BasalForebrain_R	2865	78.0000	462.0000	232.0356	45.3503	
